title,url,source,time,date,query,story_position,domain,category
These New Yorkers fleeing coronavirus vow they'll never return,https://nypost.com/2020/04/29/these-new-yorkers-fleeing-coronavirus-vow-theyll-never-return/,New York Post,10 hours ago,2020-04-30 10:00:00,coronavirus,9,nypost.com,
Court upholds Trump's coronavirus immigration ban,https://www.politico.com/news/2020/04/29/court-upholds-trumps-coronavirus-immigration-ban-224855,Politico,11 hours ago,2020-04-30 10:00:00,coronavirus,10,www.politico.com,
"Debi Mazar claims she can't get coronavirus test in New York to prove she's 
COVID-19 free",https://www.foxnews.com/entertainment/debi-mazar-gives-coronavirus-update-tests-new-york-not-available,Fox News,2 hours ago,2020-04-30 10:00:00,coronavirus test,1,www.foxnews.com,
"All L.A. County residents can now get free coronavirus tests, Garcetti says",https://www.latimes.com/california/story/2020-04-29/all-l-a-residents-can-how-get-coronavirus-test-garcetti-says,Los Angeles Times,13 hours ago,2020-04-30 10:00:00,coronavirus test,2,www.latimes.com,
Coronavirus updates: Drug trials bring hope as COVID-19 fuels job losses,https://www.cbsnews.com/live-updates/coronavirus-latest-updates-2020-04-30/,CBS News,11 mins ago,2020-04-30 10:00:00,coronavirus test,3,www.cbsnews.com,
Coronavirus pandemic in the US: Live updates,https://www.cnn.com/us/live-news/us-coronavirus-update-04-30-20/index.html,CNN.com,17 mins ago,2020-04-30 10:00:00,coronavirus test,4,www.cnn.com,
Coronavirus pandemic: Updates from around the world,https://www.cnn.com/world/live-news/coronavirus-pandemic-04-30-20-intl/index.html,CNN.com,17 mins ago,2020-04-30 10:00:00,coronavirus test,5,www.cnn.com,
Lakers' Jared Dudley describes getting tested for coronavirus,https://www.foxnews.com/sports/lakers-jared-dudley-coronavirus-test,Fox News,1 hour ago,2020-04-30 10:00:00,coronavirus test,6,www.foxnews.com,
"Why can’t Onondaga County get vital coronavirus test data from Walmart test 
site?",https://www.syracuse.com/coronavirus/2020/04/why-cant-onondaga-county-get-vital-coronavirus-test-data-from-walmart-test-site.html,Syracuse.com,1 hour ago,2020-04-30 10:00:00,coronavirus test,7,www.syracuse.com,
"Antigen Tests For The Coronavirus Might Be Easier, But How Reliable? : 
Shots - Health News",https://www.npr.org/sections/health-shots/2020/04/30/847416695/a-next-generation-coronavirus-test-raises-hopes-and-concerns,NPR,5 hours ago,2020-04-30 10:00:00,coronavirus test,8,www.npr.org,
